Date,Price,Open,High,Low,Vol.,Change %
16-Sep-20,40.16,38.35,40.34,38.35,367.61K,0.0491
15-Sep-20,38.28,37.28,38.57,37.06,348.86K,0.0274
14-Sep-20,37.26,37.32,37.68,36.82,347.56K,-0.0019
11-Sep-20,37.33,37.01,37.82,36.67,363.79K,0.0008
10-Sep-20,37.3,37.8,38.18,36.93,367.56K,-0.0197
9-Sep-20,38.05,36.79,38.45,36.16,455.36K,0.0351
8-Sep-20,36.76,39.48,39.59,36.13,720.98K,-0.0622
7-Sep-20,39.2,38.77,39.53,38.77,-,0.0116
6-Sep-20,38.75,39.47,39.48,38.57,-,-0.0256
4-Sep-20,39.77,41.25,41.87,39.35,444.18K,-0.0387
3-Sep-20,41.37,41.63,41.79,40.22,417.63K,-0.0034
2-Sep-20,41.51,43.02,43.21,41.23,421.77K,-0.0292
1-Sep-20,42.76,42.83,43.43,42.72,285.15K,0.0035
31-Aug-20,42.61,42.91,43.57,42.56,236.88K,-0.0084
28-Aug-20,42.97,42.98,43.42,42.69,272.80K,-0.0016
27-Aug-20,43.04,43.45,43.5,42.36,320.97K,-0.0081
26-Aug-20,43.39,43.39,43.78,43,262.24K,0.0009
25-Aug-20,43.35,42.36,43.57,42.31,330.80K,0.0171
24-Aug-20,42.62,42.48,42.89,42.23,294.73K,0.0066
21-Aug-20,42.34,42.75,42.96,41.46,345.37K,-0.0056
20-Aug-20,42.58,42.74,42.79,41.5,27.43K,-0.0082
19-Aug-20,42.93,42.6,43.03,42.36,81.30K,0.0009
18-Aug-20,42.89,42.79,42.99,42.11,111.63K,0
17-Aug-20,42.89,42.24,42.97,41.8,208.43K,0.0209
14-Aug-20,42.01,42.33,42.57,41.62,310.87K,-0.0054
13-Aug-20,42.24,42.57,42.84,42.09,329.51K,-0.0101
12-Aug-20,42.67,41.62,42.9,41.53,397.83K,0.0255
11-Aug-20,41.61,41.98,42.94,41.48,432.84K,-0.0079
10-Aug-20,41.94,41.5,42.33,41.17,367.80K,0.0175
7-Aug-20,41.22,41.97,42.22,41.06,399.00K,-0.0174
